package	version	architecture	status	source_package	installed_size_kib	apt_mark	origin	candidate_version	category
7zip	25.01+dfsg-1~deb13u2	arm64	ii	7zip	6938	auto	Debian/deb.debian.org/stable; now	25.01+dfsg-1~deb13u2	dependency
about-this-pi-forma	0.1.0	arm64	ii	about-this-pi-forma	9568	manual	now	0.1.0	local-deb
accountsservice	23.13.9-7	arm64	ii	accountsservice	735	auto	Debian/deb.debian.org/stable; now	23.13.9-7	dependency
acl	2.3.2-2+b1	arm64	ii	acl	347	auto	Debian/deb.debian.org/stable; now	2.3.2-2+b1	dependency
adduser	3.152	all	ii	adduser	428	manual	Debian/deb.debian.org/stable; now	3.152	optional-utility
adwaita-icon-theme	48.1-1	all	ii	adwaita-icon-theme	13448	auto	Debian/deb.debian.org/stable; now	48.1-1	dependency
adwaita-icon-theme-legacy	46.2-2	all	ii	adwaita-icon-theme-legacy	3129	auto	Debian/deb.debian.org/stable; now	46.2-2	dependency
agnostics	1.6	arm64	ii	agnostics	160	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.6	dependency
alacarte	3.56.0-2+rpt2	all	ii	alacarte	597	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	3.56.0-2+rpt2	dependency
alsa-topology-conf	1.2.5.1-3	all	ii	alsa-topology-conf	420	auto	Debian/deb.debian.org/stable; now	1.2.5.1-3	dependency
alsa-ucm-conf	1.2.14-1	all	ii	alsa-ucm-conf	1353	auto	Debian/deb.debian.org/stable; now	1.2.14-1	dependency
alsa-utils	1.2.14-1+rpt1	arm64	ii	alsa-utils	3474	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.2.14-1+rpt1	base-os
apparmor	4.1.0-1	arm64	ii	apparmor	3328	auto	Debian/deb.debian.org/stable; now	4.1.0-1	dependency
appmenu-gtk-module-common	25.04-1	all	ii	appmenu-gtk-module	22	auto	Debian/deb.debian.org/stable; now	25.04-1	dependency
appmenu-gtk3-module:arm64	25.04-1	arm64	ii	appmenu-gtk-module	86	manual	Debian/deb.debian.org/stable; now	25.04-1	experiment
appmenu-registrar	25.04-1	arm64	ii	appmenu-registrar	81	manual	Debian/deb.debian.org/stable; now	25.04-1	experiment
apt	3.0.3	arm64	ii	apt	4912	manual	Debian/deb.debian.org/stable; now	3.0.3	base-os
apt-listchanges	4.8	all	ii	apt-listchanges	553	manual	Debian/deb.debian.org/stable; now	4.8	optional-utility
apt-transport-https	3.0.3	all	ii	apt	48	manual	Debian/deb.debian.org/stable; now	3.0.3	optional-utility
apt-utils	3.0.3	arm64	ii	apt	1154	manual	Debian/deb.debian.org/stable; now	3.0.3	optional-utility
aria2	1.37.0+debian-3	arm64	ii	aria2	2037	manual	Debian/deb.debian.org/stable; now	1.37.0+debian-3	optional-utility
aspell	0.60.8.1-4	arm64	ii	aspell	1584	auto	Debian/deb.debian.org/stable; now	0.60.8.1-4	dependency
aspell-en	2020.12.07-0-1	all	ii	aspell-en	429	auto	Debian/deb.debian.org/stable; now	2020.12.07-0-1	dependency
assistant-qt6	6.8.2-5	arm64	ii	qt6-tools	1698	auto	Debian/deb.debian.org/stable; now	6.8.2-5	dependency
at-ease	0.1.0	arm64	ii	at-ease	9803	manual	now	0.1.0	local-deb
at-spi2-common	2.56.2-1+deb13u1	all	ii	at-spi2-core	1348	auto	Debian/deb.debian.org/stable; now	2.56.2-1+deb13u1	dependency
at-spi2-core	2.56.2-1+deb13u1	arm64	ii	at-spi2-core	266	auto	Debian/deb.debian.org/stable; now	2.56.2-1+deb13u1	dependency
autoconf	2.72-3.1	all	ii	autoconf	2197	auto	Debian/deb.debian.org/stable; now	2.72-3.1	dependency
automake	1:1.17-4	all	ii	automake-1.17	1906	auto	Debian/deb.debian.org/stable; now	1:1.17-4	dependency
autopoint	0.23.1-2	all	ii	gettext	783	auto	Debian/deb.debian.org/stable; now	0.23.1-2	dependency
autotools-dev	20240727.1	all	ii	autotools-dev	147	auto	Debian/deb.debian.org/stable; now	20240727.1	development-toolchain
autotouch	0.1	all	ii	autotouch	17	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	0.1	dependency
avahi-daemon	0.8-16	arm64	ii	avahi	315	manual	Debian/deb.debian.org/stable; now	0.8-16	optional-utility
awb-nn	0~git20251217.c7112b6-1	all	ii	awb-nn	103	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	0~git20251217.c7112b6-1	dependency
base-files	13.8+deb13u5	arm64	ii	base-files	348	manual	Debian/deb.debian.org/stable; now	13.8+deb13u5	base-os
base-passwd	3.6.7	arm64	ii	base-passwd	300	manual	Debian/deb.debian.org/stable; now	3.6.7	base-os
bash	5.2.37-2+b9	arm64	ii	bash	7359	manual	Debian/deb.debian.org/stable; now	5.2.37-2+b9	base-os
bash-completion	1:2.16.0-7	all	ii	bash-completion	1952	manual	Debian/deb.debian.org/stable; now	1:2.16.0-7	optional-utility
bc	1.07.1-4+b1	arm64	ii	bc	273	manual	Debian/deb.debian.org/stable; now	1.07.1-4+b1	optional-utility
binutils	2.44-3	arm64	ii	binutils	1237	auto	Debian/deb.debian.org/stable; now	2.44-3	dependency
binutils-aarch64-linux-gnu	2.44-3	arm64	ii	binutils	9228	auto	Debian/deb.debian.org/stable; now	2.44-3	dependency
binutils-common:arm64	2.44-3	arm64	ii	binutils	16098	auto	Debian/deb.debian.org/stable; now	2.44-3	dependency
blt	2.5.3+dfsg-8	arm64	ii	blt	21	auto	Debian/deb.debian.org/stable; now	2.5.3+dfsg-8	dependency
bluetooth	5.82-1.1+rpt1	all	ii	bluez	68	manual	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	5.82-1.1+rpt1	base-os
bluez	5.82-1.1+rpt1	arm64	ii	bluez	5567	manual	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	5.82-1.1+rpt1	base-os
bluez-firmware	1.2-13+rpt2	all	ii	bluez-firmware	476	manual	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.2-13+rpt2	optional-utility
bluez-tools	2.0~20170911.0.7cb788c-4+b2	arm64	ii	bluez-tools	1270	manual	Debian/deb.debian.org/stable; now	2.0~20170911.0.7cb788c-4+b2	optional-utility
bsdextrautils	2.41-5	arm64	ii	util-linux	555	auto	Debian/deb.debian.org/stable; now	2.41-5	dependency
bsdutils	1:2.41-5	arm64	ii	util-linux	553	manual	Debian/deb.debian.org/stable; now	1:2.41-5	optional-utility
bubblewrap	0.11.0-2+deb13u1	arm64	ii	bubblewrap	189	auto	Debian/deb.debian.org/stable; now	0.11.0-2+deb13u1	dependency
build-essential	12.12	arm64	ii	build-essential	17	manual	Debian/deb.debian.org/stable; now	12.12	development-toolchain
busybox	1:1.37.0-6+b8	arm64	ii	busybox	967	auto	Debian/deb.debian.org/stable; now	1:1.37.0-6+b8	dependency
bzip2	1.0.8-6	arm64	ii	bzip2	193	manual	Debian/deb.debian.org/stable; now	1.0.8-6	optional-utility
ca-certificates	20250419	all	ii	ca-certificates	390	manual	Debian/deb.debian.org/stable; now	20250419	optional-utility
chromium	1:149.0.7827.114-1~deb13u1+rpt1	arm64	ii	chromium	276491	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable	1:149.0.7827.196-1~deb13u1+rpt1	feature-runtime
chromium-common	1:149.0.7827.114-1~deb13u1+rpt1	arm64	ii	chromium	85928	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable	1:149.0.7827.196-1~deb13u1+rpt1	feature-runtime
chromium-l10n	1:149.0.7827.114-1~deb13u1+rpt1	all	ii	chromium	120615	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable	1:149.0.7827.196-1~deb13u1+rpt1	feature-runtime
chromium-sandbox	1:149.0.7827.114-1~deb13u1+rpt1	arm64	ii	chromium	385	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable	1:149.0.7827.196-1~deb13u1+rpt1	feature-runtime
cifs-utils	2:7.4-1	arm64	ii	cifs-utils	652	manual	Debian/deb.debian.org/stable; now	2:7.4-1	optional-utility
clang-19	1:19.1.7-3+b1	arm64	ii	llvm-toolchain-19	379	auto	Debian/deb.debian.org/stable; now	1:19.1.7-3+b1	development-toolchain
clang-tidy	1:19.0-63	arm64	ii	llvm-defaults	21	auto	Debian/deb.debian.org/stable; now	1:19.0-63	development-toolchain
clang-tidy-19	1:19.1.7-3+b1	arm64	ii	llvm-toolchain-19	12262	auto	Debian/deb.debian.org/stable; now	1:19.1.7-3+b1	development-toolchain
clang-tools-19	1:19.1.7-3+b1	arm64	ii	llvm-toolchain-19	43362	auto	Debian/deb.debian.org/stable; now	1:19.1.7-3+b1	development-toolchain
clangd-19	1:19.1.7-3+b1	arm64	ii	llvm-toolchain-19	17151	auto	Debian/deb.debian.org/stable; now	1:19.1.7-3+b1	development-toolchain
clangd:arm64	1:19.0-63	arm64	ii	llvm-defaults	16	auto	Debian/deb.debian.org/stable; now	1:19.0-63	development-toolchain
clippy	0.4.3	arm64	ii	clippy	316470	manual	now	0.4.3	local-deb
cloud-guest-utils	0.33-1	all	ii	cloud-utils	71	auto	Debian/deb.debian.org/stable; now	0.33-1	dependency
cloud-init	25.2-1~bpo13+1+rpt20	all	ii	cloud-init	3231	manual	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	25.2-1~bpo13+1+rpt20	optional-utility
cmake	3.31.6-2	arm64	ii	cmake	35258	manual	Debian/deb.debian.org/stable; now	3.31.6-2	development-toolchain
cmake-data	3.31.6-2	all	ii	cmake	11883	auto	Debian/deb.debian.org/stable; now	3.31.6-2	dependency
colord	1.4.7-3	arm64	ii	colord	1383	auto	Debian/deb.debian.org/stable; now	1.4.7-3	dependency
colord-data	1.4.7-3	all	ii	colord	2588	auto	Debian/deb.debian.org/stable; now	1.4.7-3	dependency
comerr-dev:arm64	2.1-1.47.2-3+b11	arm64	ii	e2fsprogs	158	auto	Debian/deb.debian.org/stable; now	2.1-1.47.2-3+b11	development-toolchain
console-setup	1.242~deb13u1	all	ii	console-setup	411	manual	Debian/deb.debian.org/stable; now	1.242~deb13u1	optional-utility
console-setup-linux	1.242~deb13u1	all	ii	console-setup	7283	auto	Debian/deb.debian.org/stable; now	1.242~deb13u1	dependency
control-strip-simulator	0.1.0	arm64	ii	control-strip-simulator	9610	manual	now	0.1.0	local-deb
coreutils	9.7-3	arm64	ii	coreutils	21046	manual	Debian/deb.debian.org/stable; now	9.7-3	base-os
cpio	2.15+dfsg-2	arm64	ii	cpio	1281	manual	Debian/deb.debian.org/stable; now	2.15+dfsg-2	optional-utility
cpp	4:14.2.0-1	arm64	ii	gcc-defaults	18	auto	Debian/deb.debian.org/stable; now	4:14.2.0-1	dependency
cpp-14	14.2.0-19	arm64	ii	gcc-14	11	auto	Debian/deb.debian.org/stable; now	14.2.0-19	dependency
cpp-14-aarch64-linux-gnu	14.2.0-19	arm64	ii	gcc-14	30958	auto	Debian/deb.debian.org/stable; now	14.2.0-19	dependency
cpp-14-for-host:arm64	14.2.0-19	arm64	ii	gcc-14	6	auto	Debian/deb.debian.org/stable; now	14.2.0-19	dependency
cpp-aarch64-linux-gnu	4:14.2.0-1	arm64	ii	gcc-defaults	17	auto	Debian/deb.debian.org/stable; now	4:14.2.0-1	dependency
cron	3.0pl1-197	arm64	ii	cron	273	manual	Debian/deb.debian.org/stable; now	3.0pl1-197	optional-utility
cron-daemon-common	3.0pl1-197	all	ii	cron	56	manual	Debian/deb.debian.org/stable; now	3.0pl1-197	optional-utility
cups	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	1746	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-browsed	1.28.17-6+rpt1+deb13u1	arm64	ii	cups-filters	443	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.28.17-6+rpt1+deb13u1	dependency
cups-client	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	839	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-common	2.4.10-3+rpt2+deb13u1	all	ii	cups	4242	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-core-drivers	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	243	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-daemon	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	1169	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-filters	1.28.17-6+rpt1+deb13u1	arm64	ii	cups-filters	2359	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.28.17-6+rpt1+deb13u1	dependency
cups-filters-core-drivers	1.28.17-6+rpt1+deb13u1	arm64	ii	cups-filters	935	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	1.28.17-6+rpt1+deb13u1	dependency
cups-ipp-utils	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	1152	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-pk-helper	0.2.6-2.1+rpt1	arm64	ii	cups-pk-helper	542	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	0.2.6-2.1+rpt1	dependency
cups-ppdc	2.4.10-3+rpt2+deb13u1	arm64	ii	cups	691	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
cups-server-common	2.4.10-3+rpt2+deb13u1	all	ii	cups	2383	auto	Raspberry Pi Foundation/archive.raspberrypi.com/stable; now	2.4.10-3+rpt2+deb13u1	dependency
curl	8.14.1-2+deb13u3	arm64	ii	curl	503	manual	Debian/deb.debian.org/stable; now	8.14.1-2+deb13u3	optional-utility
dash	0.5.12-12	arm64	ii	dash	275	manual	Debian/deb.debian.org/stable; now	0.5.12-12	optional-utility
dbus	1.16.2-2	arm64	ii	dbus	169	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-bin	1.16.2-2	arm64	ii	dbus	418	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-daemon	1.16.2-2	arm64	ii	dbus	420	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-session-bus-common	1.16.2-2	all	ii	dbus	80	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-system-bus-common	1.16.2-2	all	ii	dbus	91	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-user-session	1.16.2-2	arm64	ii	dbus	84	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dbus-x11	1.16.2-2	arm64	ii	dbus	151	auto	Debian/deb.debian.org/stable; now	1.16.2-2	dependency
dconf-cli	0.40.0-5	arm64	ii	dconf	92	auto	Debian/deb.debian.org/stable; now	0.40.0-5	dependency
dconf-gsettings-backend:arm64	0.40.0-5	arm64	ii	dconf	145	auto	Debian/deb.debian.org/stable; now	0.40.0-5	dependency
dconf-service	0.40.0-5	arm64	ii	dconf	153	auto	Debian/deb.debian.org/stable; now	0.40.0-5	dependency
debconf	1.5.91	all	ii	debconf	497	manual	Debian/deb.debian.org/stable; now	1.5.91	optional-utility
debconf-i18n	1.5.91	all	ii	debconf	842	manual	Debian/deb.debian.org/stable; now	1.5.91	optional-utility
debconf-utils	1.5.91	all	ii	debconf	108	manual	Debian/deb.debian.org/stable; now	1.5.91	optional-utility
debhelper	13.24.2	all	ii	debhelper	1448	manual	Debian/deb.debian.org/stable; now	13.24.2	development-toolchain
debian-archive-keyring	2025.1	all	ii	debian-archive-keyring	302	manual	Debian/deb.debian.org/stable; now	2025.1	optional-utility
debianutils	5.23.2	arm64	ii	debianutils	369	manual	Debian/deb.debian.org/stable; now	5.23.2	optional-utility
debsums	3.0.2.3	all	ii	debsums	107	manual	Debian/deb.debian.org/stable; now	3.0.2.3	optional-utility
debugedit	1:5.1-2	arm64	ii	debugedit	178	auto	Debian/deb.debian.org/stable; now	1:5.1-2	dependency
designer-qt6	6.8.2-5	arm64	ii	qt6-tools	674	auto	Debian/deb.debian.org/stable; now	6.8.2-5	dependency
desktop-file-utils	0.28-1	arm64	ii	desktop-file-utils	415	auto	Debian/deb.debian.org/stable; now	0.28-1	piforma-core-runtime
device-tree-compiler	1.7.2-2+b1	arm64	ii	device-tree-compiler	712	auto	Debian/deb.debian.org/stable; now	1.7.2-2+b1	dependency
devscripts	2.25.15+deb13u1	all	ii	devscripts	2701	manual	Debian/deb.debian.org/stable; now	2.25.15+deb13u1	development-toolchain
