distribution	version	python_executable	location	ownership	owning_debian_package	environment_path	restore_method	notes
apt-listchanges	4.8	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	apt-listchanges		Install Debian package apt-listchanges	metadata=/usr/lib/python3/dist-packages/apt_listchanges-4.8.dist-info
arrow	1.3.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-arrow		Install Debian package python3-arrow	metadata=/usr/lib/python3/dist-packages/arrow-1.3.0.dist-info
asgiref	3.8.1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-asgiref		Install Debian package python3-asgiref	metadata=/usr/lib/python3/dist-packages/asgiref-3.8.1.dist-info
astroid	3.3.8	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-astroid		Install Debian package python3-astroid	metadata=/usr/lib/python3/dist-packages/astroid-3.3.8.dist-info
asttokens	3.0.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-asttokens		Install Debian package python3-asttokens	metadata=/usr/lib/python3/dist-packages/asttokens-3.0.0.dist-info
attrs	25.3.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-attr		Install Debian package python3-attr	metadata=/usr/lib/python3/dist-packages/attrs-25.3.0.dist-info
autocommand	2.2.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-autocommand		Install Debian package python3-autocommand	metadata=/usr/lib/python3/dist-packages/autocommand-2.2.2.dist-info
av	14.2.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-av		Install Debian package python3-av	metadata=/usr/lib/python3/dist-packages/av-14.2.0.dist-info
babel	2.17.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-babel		Install Debian package python3-babel	metadata=/usr/lib/python3/dist-packages/babel-2.17.0.egg-info
bcrypt	4.2.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-bcrypt		Install Debian package python3-bcrypt	metadata=/usr/lib/python3/dist-packages/bcrypt-4.2.0.dist-info
beautifulsoup4	4.13.4	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-bs4		Install Debian package python3-bs4	metadata=/usr/lib/python3/dist-packages/beautifulsoup4-4.13.4.dist-info
blinker	1.9.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-blinker		Install Debian package python3-blinker	metadata=/usr/lib/python3/dist-packages/blinker-1.9.0.dist-info
certifi	2025.1.31	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-certifi		Install Debian package python3-certifi	metadata=/usr/lib/python3/dist-packages/certifi-2025.1.31.egg-info
chardet	5.2.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-chardet		Install Debian package python3-chardet	metadata=/usr/lib/python3/dist-packages/chardet-5.2.0.dist-info
charset-normalizer	3.4.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-charset-normalizer		Install Debian package python3-charset-normalizer	metadata=/usr/lib/python3/dist-packages/charset_normalizer-3.4.2.dist-info
click	8.1.8	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-click		Install Debian package python3-click	metadata=/usr/lib/python3/dist-packages/click-8.1.8.dist-info
cloud-init	25.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	cloud-init		Install Debian package cloud-init	metadata=/usr/lib/python3/dist-packages/cloud_init-25.2.egg-info
colorzero	2.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-colorzero		Install Debian package python3-colorzero	metadata=/usr/lib/python3/dist-packages/colorzero-2.0.egg-info
configobj	5.0.9	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-configobj		Install Debian package python3-configobj	metadata=/usr/lib/python3/dist-packages/configobj-5.0.9.dist-info
cryptography	43.0.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-cryptography		Install Debian package python3-cryptography	metadata=/usr/lib/python3/dist-packages/cryptography-43.0.0.dist-info
cssselect	1.3.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-cssselect		Install Debian package python3-cssselect	metadata=/usr/lib/python3/dist-packages/cssselect-1.3.0.egg-info
cupshelpers	1.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-cupshelpers		Install Debian package python3-cupshelpers	metadata=/usr/lib/python3/dist-packages/cupshelpers-1.0.egg-info
dbus-python	1.4.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-dbus		Install Debian package python3-dbus	metadata=/usr/lib/python3/dist-packages/dbus_python-1.4.0.egg-info
dbus_next	0.2.3	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-dbus-next		Install Debian package python3-dbus-next	metadata=/usr/lib/python3/dist-packages/dbus_next-0.2.3.egg-info
devscripts	2.25.15+deb13u1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	devscripts		Install Debian package devscripts	metadata=/usr/lib/python3/dist-packages/devscripts-2.25.15+deb13u1.egg-info
dill	0.4.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-dill		Install Debian package python3-dill	metadata=/usr/lib/python3/dist-packages/dill-0.4.0.dist-info
distlib	0.3.9	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-distlib		Install Debian package python3-distlib	metadata=/usr/lib/python3/dist-packages/distlib-0.3.9.egg-info
distro	1.9.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-distro		Install Debian package python3-distro	metadata=/usr/lib/python3/dist-packages/distro-1.9.0.dist-info
docutils	0.21.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-docutils		Install Debian package python3-docutils	metadata=/usr/lib/python3/dist-packages/docutils-0.21.2.dist-info
filelock	3.18.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-filelock		Install Debian package python3-filelock	metadata=/usr/lib/python3/dist-packages/filelock-3.18.0.dist-info
Flask	3.1.1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-flask		Install Debian package python3-flask	metadata=/usr/lib/python3/dist-packages/flask-3.1.1.dist-info
fqdn	1.5.1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-fqdn		Install Debian package python3-fqdn	metadata=/usr/lib/python3/dist-packages/fqdn-1.5.1.egg-info
freetype-py	2.5.1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-freetype		Install Debian package python3-freetype	metadata=/usr/lib/python3/dist-packages/freetype_py-2.5.1.dist-info
gpiod	2.2.0	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-libgpiod		Install Debian package python3-libgpiod	metadata=/usr/lib/python3/dist-packages/gpiod-2.2.0.dist-info
gpiozero	2.0.1	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-gpiozero		Install Debian package python3-gpiozero	metadata=/usr/lib/python3/dist-packages/gpiozero-2.0.1.egg-info
gyp-next	0.16.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	gyp		Install Debian package gyp	metadata=/usr/lib/python3/dist-packages/gyp_next-0.16.2.dist-info
html5lib-modern	1.2	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-html5lib		Install Debian package python3-html5lib	metadata=/usr/lib/python3/dist-packages/html5lib_modern-1.2.egg-info
idna	3.10	/usr/bin/python3	/usr/lib/python3/dist-packages	apt-managed-python	python3-idna		Install Debian package python3-idna	metadata=/usr/lib/python3/dist-packages/idna-3.10.dist-info
